"TOA5","HIAL","CR1000","E11642","CR1000.Std.31.03","CPU:HIAL_TM_1.4.CR1","62362","Table15min"
"TIMESTAMP","RECORD","AirTC_Avg","RH","WS","WindDir","WindDir_SDV","Incoming_SW_Avg","Outgoing_SW_Avg","Incoming_LW_Avg","Outgoing_LW_Avg"
"TS","RN","Deg C","%","meters/second","degrees","Deg","","","",""
"","","Avg","Smp","WVc","WVc","WVc","Avg","Avg","Avg","Avg"
"2020-09-04 17:15:00",0,23.37,30.15,0,0,0,-0.067,0.679,443.6,442.6
"2020-09-04 17:30:00",1,23.03,30.72,0,0,0,-0.027,0.581,442.9,441.3
"2020-09-04 17:45:00",2,22.79,31.24,0,0,0,0.009,0.462,442.5,440.5
"2020-09-04 18:00:00",3,22.46,31.94,0,0,0,-0.098,0.274,441.6,439.4
"2020-09-04 18:15:00",4,22.2,32.2,0,0,0,0.089,0.369,441.1,438.8
"2020-09-04 18:30:00",5,22.11,32.27,0,0,0,0.118,0.262,441,438.5
"2020-09-04 18:45:00",6,22.07,32.39,0,0,0,-0.074,0.01,440.6,437.9
"2020-09-04 19:00:00",7,22.02,32.68,0,0,0,-0.057,-0.077,440.3,437.4
"2020-09-04 19:15:00",8,21.85,32.9,0,0,0,-0.016,-0.029,439.8,436.6
"2020-09-04 19:30:00",9,21.67,33.54,0,0,0,-0.123,-0.077,439.3,435.8
"2020-09-04 19:45:00",10,21.48,33.93,0,0,0,-0.017,-0.069,438.8,435.3
"2020-09-04 20:00:00",11,21.31,34.15,0,0,0,0.064,0.003,438.5,434.7
"2020-09-04 20:15:00",12,21.25,33.98,0,0,0,0.152,0.025,438.4,434.6
"2020-09-04 20:30:00",13,21.32,34.14,0,0,0,-0.001,-0.065,438.2,434.3
"2020-09-04 20:45:00",14,21.22,34.37,0,0,0,0.096,-0.003,438,434.1
"2020-09-04 21:00:00",15,21.26,34.45,0,0,0,0.184,0.012,438.1,434.1
"2020-09-04 21:15:00",16,21.3,34.45,0,0,0,0.109,-0.012,438.1,433.9
"2020-09-04 21:30:00",17,21.25,34.6,0,0,0,-0.121,-0.081,437.6,433.3
"2020-09-04 21:45:00",18,21.07,34.95,0,0,0,-0.048,-0.009,437.1,433
"2020-09-04 22:00:00",19,21.01,35.11,0,0,0,0.185,0.028,437.1,432.8
"2020-09-04 22:15:00",20,21.02,35.14,0,0,0,0.171,0.001,437.1,432.8
"2020-09-04 22:30:00",21,20.98,34.88,0,0,0,0.054,0.003,437,432.5
