Datetime,Wind_Direction,Wind_SpeedAvg,Wind_SpeedMax,Temp,Humidity,Pressure
2020-10-15 15:15,0,0.0,0.0,26.11,13.0,666.2
2020-10-15 15:25,0,0.0,0.0,27.22,8.0,679.0
2020-10-15 15:30,0,0.0,0.0,32.78,9.0,678.9
2020-10-15 15:35,0,0.0,0.0,30.0,31.0,678.9
2020-10-16 13:40,0,0.0,0.0,25.56,6.0,678.9
2020-10-16 14:15,135,1.341,3.129,48.89,7.0,678.2
2020-10-16 14:55,225,1.788,3.129,51.11,7.0,677.7
2020-10-16 15:05,180,2.235,4.023,48.33,7.0,677.6
2020-10-16 15:15,180,2.682,4.023,45.56,99.0,677.5
2020-10-16 15:20,180,2.682,5.364,44.44,99.0,677.4
2020-10-16 15:25,180,1.788,5.364,43.33,99.0,677.3
2020-10-16 15:30,180,2.682,4.917,42.78,99.0,677.4
2020-10-16 15:35,180,1.788,4.917,42.22,99.0,677.3
2020-10-16 15:40,180,2.235,4.023,41.67,99.0,677.3
2020-10-16 15:50,180,3.576,5.364,40.0,99.0,677.1
2020-10-16 15:55,135,2.682,5.364,38.89,99.0,677.1
2020-10-16 16:00,180,2.682,4.47,38.89,99.0,677.2
2020-10-16 16:05,180,2.682,5.812,37.22,99.0,677.1
2020-10-16 16:10,180,2.682,5.812,36.67,99.0,677.0
2020-10-16 16:15,180,2.235,5.812,35.56,99.0,676.9
2020-10-16 16:20,180,4.023,5.812,34.44,99.0,676.9
2020-10-16 16:25,180,2.682,5.364,33.33,99.0,676.7
2020-10-16 16:30,180,3.129,4.917,33.33,99.0,676.8
2020-10-16 16:35,180,3.576,5.364,33.33,99.0,676.4
2020-10-16 16:40,135,3.129,5.812,32.22,10.0,676.8
2020-10-16 16:45,180,3.129,5.812,31.11,6.0,676.9
2020-10-16 16:50,180,2.235,7.6,31.11,6.0,676.7
2020-10-16 16:55,135,4.47,7.6,28.89,6.0,676.9
2020-10-16 17:00,135,3.576,6.706,26.67,6.0,676.7
2020-10-16 17:05,180,2.682,5.364,25.56,5.0,676.9
2020-10-16 17:10,180,4.023,6.706,23.89,5.0,677.1
2020-10-16 17:15,135,2.682,6.706,23.33,8.0,676.8
2020-10-16 17:25,90,2.682,5.364,21.67,6.0,677.1
2020-10-16 17:30,90,1.788,5.812,21.67,6.0,677.2
2020-10-16 17:35,45,2.682,5.812,21.11,6.0,677.2
2020-10-16 17:40,90,2.682,5.364,20.56,6.0,677.2
2020-10-16 17:45,135,2.235,5.812,20.56,6.0,677.3
2020-10-16 17:50,135,2.682,5.812,20.56,6.0,677.0
2020-10-16 17:55,90,1.341,6.706,20.56,6.0,677.5
2020-10-16 18:00,180,1.341,6.706,20.0,6.0,677.4
2020-10-16 18:05,315,1.341,5.364,20.0,6.0,677.6
2020-10-16 18:10,135,1.341,5.364,19.44,6.0,677.6
2020-10-16 18:15,135,0.894,5.364,20.0,6.0,677.8
2020-10-16 18:20,90,0.894,2.682,19.44,6.0,677.8
2020-10-16 18:25,180,1.788,3.576,19.44,6.0,677.8
2020-10-16 18:30,135,1.341,3.576,19.44,6.0,677.9
2020-10-16 18:35,180,0.894,3.576,19.44,6.0,678.0
2020-10-16 18:40,180,0.894,3.576,18.89,6.0,677.9
2020-10-16 18:45,90,1.341,3.129,18.89,6.0,678.1
2020-10-16 18:50,90,0.894,3.129,18.89,6.0,678.1
2020-10-16 18:55,0,1.341,2.682,18.89,6.0,678.2
2020-10-16 19:05,90,0.894,2.682,18.33,6.0,678.4
2020-10-16 19:10,135,1.341,4.023,18.33,6.0,678.3
2020-10-16 19:15,180,1.341,4.023,18.33,6.0,678.5
2020-10-16 19:20,135,1.341,3.129,18.33,6.0,678.4
2020-10-16 19:30,135,0.894,3.129,17.78,6.0,678.6
2020-10-16 19:35,90,2.235,4.023,17.78,6.0,678.6
2020-10-16 19:40,0,1.341,4.47,17.78,6.0,678.8
2020-10-16 19:45,45,1.341,4.47,17.78,6.0,678.7
2020-10-16 19:50,135,0.894,3.129,17.78,6.0,678.8
2020-10-16 20:00,90,1.341,3.129,17.78,6.0,678.8
2020-10-16 20:25,135,0.447,1.341,17.22,6.0,679.1
2020-10-16 20:30,135,1.341,3.129,16.67,6.0,679.1
2020-10-16 20:35,135,1.341,3.129,16.67,6.0,679.2
2020-10-16 20:40,270,0.894,2.682,16.67,6.0,679.3
2020-10-16 20:50,135,1.788,5.364,16.67,6.0,679.2
2020-10-16 20:55,180,0.894,5.364,16.67,6.0,679.3
2020-10-16 21:00,90,0.447,4.023,16.67,6.0,679.3
2020-10-16 21:05,180,1.788,3.576,16.67,6.0,679.4
2020-10-16 21:10,180,0.447,3.576,16.67,6.0,679.4
2020-10-16 21:15,315,0.894,2.235,16.67,6.0,679.4
2020-10-16 21:20,225,0.0,2.235,16.11,7.0,679.4
2020-10-16 21:25,180,0.894,3.129,16.11,6.0,679.3
2020-10-16 21:30,90,0.894,3.129,16.11,6.0,679.3
2020-10-16 21:35,45,1.341,2.682,16.11,6.0,679.4
2020-10-16 21:40,90,1.341,2.682,16.11,6.0,679.4
2020-10-16 21:45,0,0.0,2.682,16.11,6.0,679.5
2020-10-16 21:55,90,1.341,3.129,15.56,6.0,679.5
2020-10-16 22:00,45,0.447,3.129,15.56,6.0,679.6
2020-10-16 22:05,0,0.447,2.682,15.0,7.0,679.6
2020-10-16 22:10,45,0.894,2.235,15.0,7.0,679.7
2020-10-16 22:15,0,0.447,2.235,14.44,7.0,679.7
2020-10-16 22:25,0,0.894,2.235,13.89,7.0,679.7
2020-10-16 22:30,0,1.788,2.682,13.89,7.0,679.7
2020-10-16 22:35,45,1.341,2.682,13.89,7.0,679.7
2020-10-16 22:40,270,0.447,2.682,13.89,7.0,679.7
2020-10-16 22:50,315,0.0,1.788,13.33,7.0,679.9
2020-10-16 22:55,225,0.0,1.341,13.33,7.0,679.9
2020-10-16 23:00,225,0.0,1.341,13.33,7.0,679.9
2020-10-16 23:05,225,1.341,1.788,12.78,7.0,679.9
2020-10-16 23:10,225,0.0,1.788,12.78,7.0,679.9
2020-10-16 23:15,270,0.0,1.341,12.78,7.0,680.0
2020-10-16 23:20,0,0.0,1.341,12.22,7.0,680.0
2020-10-16 23:25,45,0.0,1.341,12.22,8.0,680.0
