Datetime,UV,IRTemp,Water_Pressure,Water_Level
2020-11-22 17:22,308.096,-7.686,33098.116,0.0
2020-11-22 17:30,308.019,-7.773,33098.116,0.0
2020-11-22 18:00,308.019,-7.715,33098.116,0.0
2020-11-22 18:30,308.019,-7.773,33098.116,0.0
2020-11-22 19:00,308.019,-8.008,33098.116,0.0
2020-11-22 19:30,308.019,-8.154,33098.116,0.0
2020-11-22 20:00,308.019,-8.037,33098.116,0.0
2020-11-22 20:30,308.019,-8.154,33098.116,0.0
2020-11-22 21:00,308.019,-8.213,33098.116,0.0
2020-11-22 21:30,308.019,-8.125,33098.116,0.0
2020-11-22 22:00,308.019,-8.096,33098.116,0.0
2020-11-22 22:30,308.019,-8.037,33098.116,0.0
2020-11-22 23:00,308.019,-8.564,33098.116,0.0
2020-11-22 23:30,308.096,-8.74,33098.116,0.0
2020-11-23 00:00,308.019,-8.594,33098.116,0.0
2020-11-23 00:30,308.019,-8.535,33098.116,0.0
2020-11-23 01:00,308.019,-8.389,33098.116,0.0
2020-11-23 01:30,308.019,-8.975,33098.116,0.0
2020-11-23 02:00,308.403,-9.033,33098.116,0.0
2020-11-23 02:30,308.403,-9.473,33098.116,0.0
2020-11-23 03:00,308.403,-9.443,33098.116,0.0
2020-11-23 03:30,308.403,-9.326,33098.116,0.0
2020-11-23 04:00,308.403,-9.531,33098.116,0.0
2020-11-23 04:30,308.403,-9.502,33098.116,0.0
2020-11-23 05:00,308.403,-9.648,33098.116,0.0
2020-11-23 05:30,308.403,-9.883,33098.116,0.0
2020-11-23 06:00,308.403,-10.176,33098.116,0.0
2020-11-23 06:30,308.786,-10.293,33098.116,0.0
2020-11-23 07:00,309.169,-10.0,33098.116,0.0
2020-11-23 07:30,309.936,-9.619,33098.116,0.0
2020-11-23 08:00,311.087,-9.18,33098.116,0.0
2020-11-23 08:30,313.771,-7.92,33098.116,0.0
2020-11-23 09:00,316.839,-6.777,33098.116,0.0
2020-11-23 09:30,344.985,-2.676,33098.116,0.0
2020-11-23 10:00,317.606,-3.32,33098.116,0.0
2020-11-23 10:30,314.921,-4.434,33098.116,0.0
2020-11-23 11:00,313.004,-4.727,33098.116,0.0
2020-11-23 11:30,311.7,-5.195,33098.116,0.0
2020-11-23 12:00,313.004,-5.283,33098.116,0.0
2020-11-23 12:30,315.305,-4.199,33098.116,0.0
2020-11-23 13:00,319.983,-3.232,33098.116,0.0
2020-11-22 11:55,322.974,-3.232,33098.116,0.0
2020-11-22 11:55,322.207,-3.203,33098.116,0.0
2020-11-22 11:57,322.207,-3.203,33098.116,0.0
2020-11-22 11:57,322.207,-3.232,33098.116,0.0
2020-11-22 11:57,321.824,-3.232,33098.116,0.0
2020-11-22 11:57,321.44,-3.262,33098.116,0.0
2020-11-22 12:00,324.738,-3.262,33098.116,0.0
2020-11-22 12:04,321.057,-3.174,33098.116,0.0
2020-11-22 12:08,325.812,-3.291,33098.116,0.0
2020-11-23 14:18,321.057,-7.598,26184.054,0.0
2020-11-23 14:18,320.673,-7.627,26144.991,0.0
2020-11-23 14:19,320.98,-7.627,26191.866,0.0
2020-11-23 14:19,315.535,-7.51,25984.835,0.0
2020-11-23 14:30,313.848,-7.598,26059.054,0.0
2020-11-22 12:00,317.606,-7.979,25945.772,0.0
2020-11-23 15:30,311.47,-8.506,25852.022,0.0
2020-11-23 16:00,311.087,-8.945,25375.46,0.0
2020-11-23 16:30,309.169,-9.473,25457.491,0.0
2020-11-23 17:00,308.019,-9.854,25500.46,0.0
2020-11-23 17:30,307.636,-10.498,25586.397,0.0
2020-11-23 18:00,307.482,-10.674,25609.835,0.0
2020-11-23 18:30,307.636,-10.908,25598.116,0.0
2020-11-23 19:00,307.636,-10.967,25625.46,0.0
2020-11-23 19:30,307.636,-10.938,25605.929,0.0
2020-11-27 09:30,321.824,-3.057,33098.116,0.0
2020-11-27 11:34,374.742,4.502,33027.344,0.0
2020-11-27 12:00,378.117,3.975,-6953.125,0.0
2020-11-27 12:30,379.881,4.004,-6953.125,0.0
